datetime,visibility
2025-10-17T16:00:00Z,9000
2025-10-17T17:00:00Z,9000
2025-10-18T23:00:00Z,4500
2025-10-19T00:05:00Z,4000
2025-10-19T01:00:00Z,4500
2025-10-19T02:00:00Z,4500
2025-10-19T03:00:00Z,6000
2025-10-19T04:00:00Z,4000
2025-10-19T05:00:00Z,6000
2025-10-19T06:00:00Z,6000
2025-10-19T07:00:00Z,9000
2025-10-19T08:00:00Z,4000
2025-10-19T09:00:00Z,4500
2025-10-19T10:00:00Z,4000
2025-10-19T11:00:00Z,6000
2025-10-19T12:00:00Z,6000
2025-10-19T12:23:00Z,3000
2025-10-19T13:00:00Z,8000
2025-10-19T14:00:00Z,8000
2025-10-19T22:00:00Z,9000
2025-10-19T23:00:00Z,6000
2025-10-20T00:00:00Z,6000
2025-10-20T01:00:00Z,9000
2025-10-20T02:00:00Z,9000
2025-10-20T03:00:00Z,9000
2025-10-20T03:15:00Z,2500
2025-10-20T04:00:00Z,5000
2025-10-20T05:00:00Z,5000
2025-10-20T06:00:00Z,5000
2025-10-20T07:00:00Z,5000
2025-10-20T08:00:00Z,5000
2025-10-20T10:00:00Z,4000
2025-10-20T11:00:00Z,8000
2025-10-20T12:00:00Z,8000
2025-10-21T14:00:00Z,8000
2025-10-21T16:00:00Z,6000
2025-10-21T19:00:00Z,8000
2025-10-24T08:00:00Z,8000
2025-10-27T19:00:00Z,9000
2025-10-27T20:00:00Z,9000
2025-10-27T21:00:00Z,9000
2025-10-27T22:00:00Z,8000
2025-10-27T23:00:00Z,7000
2025-10-28T00:00:00Z,8000
2025-10-28T01:00:00Z,7000
2025-10-28T02:00:00Z,8000
2025-10-28T03:00:00Z,6000
2025-10-28T04:00:00Z,8000
2025-10-28T05:00:00Z,8000
2025-10-28T06:00:00Z,8000
2025-10-28T07:00:00Z,8000
2025-10-28T08:00:00Z,7000
2025-10-28T09:00:00Z,7000
2025-10-28T09:10:00Z,7000
2025-10-28T10:00:00Z,7000
2025-10-28T11:00:00Z,7000
